20230727	19:05:27	81b16343-497d-4e3e-b030-e1fef564bf89	GET	/
20230727	19:05:27	e7a5d4da-a941-4183-8a50-8ae55c43cf73	GET	/img/myimg.jpg
20230731	13:04:42	957a0c38-d1d2-4818-ae4b-c43eadfdd277	GET	/
20230731	13:04:42	6464e189-8820-4ffa-8bcf-bc18d3c2daff	GET	/img/myimg.jpg
20230731	13:06:32	07d40d5d-ac71-496a-b9c9-73740d54dddd	GET	/
20230731	13:06:32	e18a5474-7aee-43f9-83ec-40d2b53aeb82	GET	/img/myimg.jpg
20230731	13:07:27	4996e69c-abc8-4626-8c1c-0df629698ae7	GET	/
20230731	13:07:27	c41f5307-8704-4432-853e-079ad68baebb	GET	/img/myimg.jpg
20230731	13:09:03	76ae2d0c-0939-44f5-9809-a287d5a4b71a	GET	/
20230731	13:09:03	c7298ddd-1c89-48de-ae73-c8ee6ad9d845	GET	/img/myimg.jpg
20230731	13:09:03	94c1b154-caeb-4b38-bc77-53eced7dde52	GET	/favicon.ico
20230731	13:13:59	c9c91544-b74d-45a0-a366-92acba7b725e	GET	/index.html
20230731	13:14:54	4579ed43-a199-4f00-bc95-6a9bdf1c5c0b	GET	https://localhost:3500	/index.html
20230731	13:21:54	e4583bea-0405-47e9-8478-33854660d1a9	GET	https://localhost:3500	/
20230731	13:21:54	95a99077-9626-4812-ab79-79fbe936cd20	GET	https://localhost:3500	/
20230731	13:22:25	93057f10-1d01-4006-9217-6297c2e9c316	GET	https://localhost:3500	/
20230731	13:22:45	913a68d9-d3d7-4c48-a78a-42787678fb58	GET	https://localhost:3500	/
20230731	13:22:45	1e393848-6ef3-486c-8d7d-fc691030b00d	GET	https://localhost:3500	/img/myimg.jpg
20230731	14:05:47	e9f3c95e-4eca-41b5-b34d-b42ded04ad4c	GET	https://localhost:3500	/
20230731	14:05:47	4b78bd6c-a5be-45aa-8df9-0679eb6e94f8	GET	https://localhost:3500	/img/myimg.jpg
20230731	14:07:11	8fe374a9-f8ce-4ee7-8d73-3885e5332e45	GET	https://localhost:3500	/
20230731	14:07:11	504db535-b5b2-4162-96b9-4c644641d813	GET	https://localhost:3500	/img/myimg.jpg
20230731	14:07:11	5d9bea58-2080-4d14-aac4-354b38b352ae	GET	https://localhost:3500	/
20230731	14:07:11	8e005dcf-7c0b-4a43-af83-2b956f4a8788	GET	https://localhost:3500	/img/myimg.jpg
